Gravité de l'accident;Type d'accident;Mois de l'accident;Genre de route;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Mars;Semi-autoroute;0;0;0;1;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Mars;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Avril;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Avril;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Avril;Route principale;0;0;1;0;1;0;1;1;0;1;1
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Avril;Route secondaire;0;1;1;0;0;0;0;0;0;1;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Avril;Semi-autoroute;0;0;0;0;0;0;0;0;1;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Avril;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Mai;Autoroute;0;0;0;0;1;0;0;0;0;1;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Mai;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Mai;Route principale;2;1;1;0;0;0;0;1;1;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Mai;Route secondaire;1;0;0;0;0;0;1;0;1;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Mai;Semi-autoroute;1;0;0;1;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Mai;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Juin;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Juin;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Juin;Route principale;0;0;0;1;2;1;0;1;0;5;1
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Juin;Route secondaire;0;0;0;2;0;1;0;0;1;0;1
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Juin;Semi-autoroute;0;0;0;1;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Juin;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Juillet;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Juillet;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Juillet;Route principale;3;0;1;3;0;0;0;0;0;1;5
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Juillet;Route secondaire;0;0;0;0;0;0;0;2;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Juillet;Semi-autoroute;1;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Juillet;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Août;Autoroute;0;0;0;0;0;1;0;1;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Août;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Août;Route principale;1;3;0;3;0;0;1;1;2;2;2
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Août;Route secondaire;0;1;0;1;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Août;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Août;Autre;0;0;1;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Septembre;Autoroute;1;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Septembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Septembre;Route principale;1;2;4;1;1;1;1;3;0;2;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Septembre;Route secondaire;0;0;0;0;0;0;0;0;0;1;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Septembre;Semi-autoroute;1;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Septembre;Autre;0;1;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Octobre;Autoroute;0;0;0;0;1;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Octobre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Octobre;Route principale;3;1;0;3;1;0;0;0;0;3;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Octobre;Route secondaire;0;0;0;0;1;1;0;2;1;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Octobre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Octobre;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Novembre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Novembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Novembre;Route principale;1;1;1;0;0;1;0;0;0;0;1
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Novembre;Route secondaire;0;0;0;0;0;0;1;0;1;1;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Novembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Novembre;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Décembre;Autoroute;0;0;0;1;0;0;1;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Décembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Décembre;Route principale;0;1;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Décembre;Route secondaire;0;0;0;0;0;1;0;0;0;0;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Décembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;1;0
Accident avec tués;Accident lors de dépassement ou lors d'un changement de voie;Décembre;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Janvier;Autoroute;0;0;0;0;0;0;0;0;1;1;0
Accident avec tués;Accident par tamponnement;Janvier;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Janvier;Route principale;0;1;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Janvier;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Janvier;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Janvier;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Février;Autoroute;0;1;0;0;0;2;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Février;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Février;Route principale;1;0;0;0;0;0;0;0;1;0;0
Accident avec tués;Accident par tamponnement;Février;Route secondaire;0;0;1;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Février;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Février;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Mars;Autoroute;0;0;0;0;0;0;0;2;0;0;1
Accident avec tués;Accident par tamponnement;Mars;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Mars;Route principale;0;0;0;0;0;0;1;0;0;0;1
Accident avec tués;Accident par tamponnement;Mars;Route secondaire;0;0;0;0;1;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Mars;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Mars;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Avril;Autoroute;0;0;0;0;1;0;0;0;1;1;0
Accident avec tués;Accident par tamponnement;Avril;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Avril;Route principale;0;1;0;0;1;1;0;0;0;0;1
Accident avec tués;Accident par tamponnement;Avril;Route secondaire;0;0;0;0;0;0;0;0;1;0;0
Accident avec tués;Accident par tamponnement;Avril;Semi-autoroute;2;0;0;0;0;0;0;1;0;0;0
Accident avec tués;Accident par tamponnement;Avril;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Mai;Autoroute;0;0;1;1;0;0;0;1;0;0;1
Accident avec tués;Accident par tamponnement;Mai;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Mai;Route principale;0;0;0;0;0;0;0;0;0;0;1
Accident avec tués;Accident par tamponnement;Mai;Route secondaire;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Mai;Semi-autoroute;0;0;0;0;1;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Mai;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Juin;Autoroute;0;0;0;0;0;0;0;1;1;1;0
Accident avec tués;Accident par tamponnement;Juin;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Juin;Route principale;2;0;0;2;1;0;0;0;0;1;0
Accident avec tués;Accident par tamponnement;Juin;Route secondaire;0;0;0;0;0;0;1;1;0;0;0
Accident avec tués;Accident par tamponnement;Juin;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Juin;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Juillet;Autoroute;0;1;1;0;0;1;1;1;1;2;0
Accident avec tués;Accident par tamponnement;Juillet;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Juillet;Route principale;0;0;0;0;1;0;1;0;2;1;0
Accident avec tués;Accident par tamponnement;Juillet;Route secondaire;0;0;0;0;0;0;0;0;1;0;0
Accident avec tués;Accident par tamponnement;Juillet;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Juillet;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Août;Autoroute;0;0;0;0;0;0;0;0;1;1;0
Accident avec tués;Accident par tamponnement;Août;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Août;Route principale;2;1;0;0;0;1;0;1;1;2;0
Accident avec tués;Accident par tamponnement;Août;Route secondaire;0;1;0;1;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Août;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Août;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Septembre;Autoroute;1;1;0;2;0;0;0;0;0;1;0
Accident avec tués;Accident par tamponnement;Septembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Septembre;Route principale;0;2;2;0;0;0;1;0;0;1;1
Accident avec tués;Accident par tamponnement;Septembre;Route secondaire;0;0;0;0;0;0;0;1;2;0;1
Accident avec tués;Accident par tamponnement;Septembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Septembre;Autre;1;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Octobre;Autoroute;0;0;2;0;0;1;0;1;0;0;0
Accident avec tués;Accident par tamponnement;Octobre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Octobre;Route principale;1;0;0;1;0;0;1;0;1;1;1
Accident avec tués;Accident par tamponnement;Octobre;Route secondaire;0;1;0;0;1;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Octobre;Semi-autoroute;0;0;1;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Octobre;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Novembre;Autoroute;1;0;0;2;0;1;1;0;0;0;0
Accident avec tués;Accident par tamponnement;Novembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Novembre;Route principale;0;0;0;0;1;0;0;1;0;0;1
Accident avec tués;Accident par tamponnement;Novembre;Route secondaire;0;0;0;1;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Novembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Novembre;Autre;0;0;0;0;0;0;0;0;0;0;0
Accident avec tués;Accident par tamponnement;Décembre;Autoroute;0;0;0;0;0;0;0;0;0;0;1
