Gravité de l'accident;Type d'accident;Mois de l'accident;Genre de route;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Accident avec blessés graves;Accident lors d'une traversée d'une route;Avril;Route principale;6;7;7;5;7;3;6;5;8;6;9
Accident avec blessés graves;Accident lors d'une traversée d'une route;Avril;Route secondaire;7;9;6;9;8;5;1;8;9;7;5
Accident avec blessés graves;Accident lors d'une traversée d'une route;Avril;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Avril;Autre;0;1;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Mai;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Mai;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Mai;Route principale;8;12;7;11;10;5;3;8;10;6;5
Accident avec blessés graves;Accident lors d'une traversée d'une route;Mai;Route secondaire;13;9;7;10;6;7;7;7;14;9;10
Accident avec blessés graves;Accident lors d'une traversée d'une route;Mai;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Mai;Autre;0;0;0;0;0;0;0;1;1;1;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Juin;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Juin;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Juin;Route principale;10;5;8;5;8;8;11;7;9;6;9
Accident avec blessés graves;Accident lors d'une traversée d'une route;Juin;Route secondaire;14;7;12;14;12;8;9;8;15;15;10
Accident avec blessés graves;Accident lors d'une traversée d'une route;Juin;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Juin;Autre;0;0;0;2;0;0;0;0;1;2;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Juillet;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Juillet;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Juillet;Route principale;7;14;3;4;15;8;10;3;6;3;7
Accident avec blessés graves;Accident lors d'une traversée d'une route;Juillet;Route secondaire;15;9;9;12;9;12;10;9;9;8;2
Accident avec blessés graves;Accident lors d'une traversée d'une route;Juillet;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Juillet;Autre;0;0;0;2;0;0;0;0;0;0;1
Accident avec blessés graves;Accident lors d'une traversée d'une route;Août;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Août;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Août;Route principale;8;7;5;8;8;7;10;6;10;6;10
Accident avec blessés graves;Accident lors d'une traversée d'une route;Août;Route secondaire;13;6;8;9;8;8;8;10;5;5;7
Accident avec blessés graves;Accident lors d'une traversée d'une route;Août;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Août;Autre;1;0;1;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Septembre;Autoroute;0;0;0;0;0;1;0;1;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Septembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Septembre;Route principale;8;13;9;7;8;1;12;10;7;5;6
Accident avec blessés graves;Accident lors d'une traversée d'une route;Septembre;Route secondaire;12;8;8;6;10;8;9;8;10;17;7
Accident avec blessés graves;Accident lors d'une traversée d'une route;Septembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Septembre;Autre;0;0;0;0;1;0;1;0;0;1;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Octobre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Octobre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;1;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Octobre;Route principale;5;3;3;4;7;7;5;7;7;7;6
Accident avec blessés graves;Accident lors d'une traversée d'une route;Octobre;Route secondaire;7;5;8;4;8;4;8;11;4;10;8
Accident avec blessés graves;Accident lors d'une traversée d'une route;Octobre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Octobre;Autre;1;0;0;0;0;1;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Novembre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Novembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Novembre;Route principale;5;8;7;7;4;7;5;7;4;2;6
Accident avec blessés graves;Accident lors d'une traversée d'une route;Novembre;Route secondaire;3;6;7;6;4;2;7;8;5;10;6
Accident avec blessés graves;Accident lors d'une traversée d'une route;Novembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Novembre;Autre;0;0;0;0;2;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Décembre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Décembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Décembre;Route principale;4;3;4;1;4;7;4;4;3;3;2
Accident avec blessés graves;Accident lors d'une traversée d'une route;Décembre;Route secondaire;3;4;8;2;8;4;4;3;3;4;5
Accident avec blessés graves;Accident lors d'une traversée d'une route;Décembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors d'une traversée d'une route;Décembre;Autre;0;0;0;1;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Janvier;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Janvier;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Janvier;Route principale;7;6;6;9;9;4;7;7;5;12;3
Accident avec blessés graves;Collision frontale;Janvier;Route secondaire;4;7;4;2;3;2;3;5;1;4;1
Accident avec blessés graves;Collision frontale;Janvier;Semi-autoroute;0;1;0;0;0;0;0;0;0;1;1
Accident avec blessés graves;Collision frontale;Janvier;Autre;0;0;0;0;0;0;0;0;0;0;1
Accident avec blessés graves;Collision frontale;Février;Autoroute;0;1;0;0;0;1;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Février;Installation annexe sur autoroute;0;0;0;0;0;0;1;0;0;0;0
Accident avec blessés graves;Collision frontale;Février;Route principale;5;6;3;5;8;6;6;3;6;4;3
Accident avec blessés graves;Collision frontale;Février;Route secondaire;4;3;2;4;3;5;3;1;1;4;4
Accident avec blessés graves;Collision frontale;Février;Semi-autoroute;0;1;1;1;0;0;0;1;1;0;1
Accident avec blessés graves;Collision frontale;Février;Autre;0;0;0;0;0;0;0;2;0;0;2
Accident avec blessés graves;Collision frontale;Mars;Autoroute;0;0;0;0;1;0;0;0;1;0;0
Accident avec blessés graves;Collision frontale;Mars;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Mars;Route principale;5;6;8;5;10;13;9;8;13;5;3
Accident avec blessés graves;Collision frontale;Mars;Route secondaire;3;7;2;2;4;5;4;4;3;2;2
Accident avec blessés graves;Collision frontale;Mars;Semi-autoroute;0;1;0;0;1;1;1;0;1;1;0
Accident avec blessés graves;Collision frontale;Mars;Autre;0;1;0;0;0;0;1;0;0;0;0
Accident avec blessés graves;Collision frontale;Avril;Autoroute;0;0;0;0;0;0;0;0;0;1;0
Accident avec blessés graves;Collision frontale;Avril;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Avril;Route principale;8;8;11;9;4;6;5;10;5;7;5
Accident avec blessés graves;Collision frontale;Avril;Route secondaire;14;9;6;6;8;2;5;6;2;3;4
Accident avec blessés graves;Collision frontale;Avril;Semi-autoroute;1;0;0;0;0;0;0;0;1;1;1
Accident avec blessés graves;Collision frontale;Avril;Autre;0;0;0;0;1;2;0;1;1;0;0
Accident avec blessés graves;Collision frontale;Mai;Autoroute;1;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Mai;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Mai;Route principale;9;8;11;11;9;6;10;3;13;10;3
Accident avec blessés graves;Collision frontale;Mai;Route secondaire;5;6;7;10;6;5;7;5;6;15;7
Accident avec blessés graves;Collision frontale;Mai;Semi-autoroute;0;2;0;0;0;1;1;0;0;1;3
Accident avec blessés graves;Collision frontale;Mai;Autre;1;0;0;1;0;2;0;0;1;3;0
Accident avec blessés graves;Collision frontale;Juin;Autoroute;0;0;0;0;0;1;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Juin;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Juin;Route principale;8;14;13;18;10;13;6;10;8;17;8
Accident avec blessés graves;Collision frontale;Juin;Route secondaire;8;7;8;13;6;8;15;14;10;22;11
Accident avec blessés graves;Collision frontale;Juin;Semi-autoroute;0;4;1;1;0;2;0;0;0;1;2
Accident avec blessés graves;Collision frontale;Juin;Autre;2;1;2;0;2;0;0;1;0;1;0
Accident avec blessés graves;Collision frontale;Juillet;Autoroute;0;0;1;0;0;1;0;1;0;0;0
Accident avec blessés graves;Collision frontale;Juillet;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Juillet;Route principale;12;18;9;6;8;14;11;11;13;12;13
Accident avec blessés graves;Collision frontale;Juillet;Route secondaire;9;9;11;5;9;6;7;6;5;7;6
Accident avec blessés graves;Collision frontale;Juillet;Semi-autoroute;2;2;0;0;2;2;0;0;1;0;1
Accident avec blessés graves;Collision frontale;Juillet;Autre;0;0;0;0;2;1;2;0;1;3;0
Accident avec blessés graves;Collision frontale;Août;Autoroute;0;0;0;0;0;0;1;0;1;0;0
Accident avec blessés graves;Collision frontale;Août;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Août;Route principale;8;9;13;13;16;9;7;8;13;16;10
Accident avec blessés graves;Collision frontale;Août;Route secondaire;3;5;9;16;7;5;12;8;10;6;7
Accident avec blessés graves;Collision frontale;Août;Semi-autoroute;0;1;1;1;4;1;1;1;2;0;1
Accident avec blessés graves;Collision frontale;Août;Autre;0;1;0;0;1;2;0;1;0;1;1
Accident avec blessés graves;Collision frontale;Septembre;Autoroute;0;0;1;0;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Septembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Septembre;Route principale;5;8;13;7;16;9;7;10;12;8;10
Accident avec blessés graves;Collision frontale;Septembre;Route secondaire;10;9;8;8;6;4;9;7;6;10;8
Accident avec blessés graves;Collision frontale;Septembre;Semi-autoroute;0;1;2;0;1;0;1;0;0;1;0
Accident avec blessés graves;Collision frontale;Septembre;Autre;2;0;3;0;1;0;1;1;1;1;2
Accident avec blessés graves;Collision frontale;Octobre;Autoroute;0;0;0;1;0;0;0;1;1;0;0
Accident avec blessés graves;Collision frontale;Octobre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Octobre;Route principale;6;10;7;8;11;2;4;9;13;13;13
Accident avec blessés graves;Collision frontale;Octobre;Route secondaire;6;7;5;2;4;3;4;5;4;11;3
Accident avec blessés graves;Collision frontale;Octobre;Semi-autoroute;0;2;0;0;1;1;2;0;1;2;1
Accident avec blessés graves;Collision frontale;Octobre;Autre;0;0;0;1;0;0;2;2;1;1;2
Accident avec blessés graves;Collision frontale;Novembre;Autoroute;0;0;0;1;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Novembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Novembre;Route principale;6;9;3;7;6;7;3;6;7;4;12
Accident avec blessés graves;Collision frontale;Novembre;Route secondaire;4;9;5;4;4;3;1;5;5;2;5
Accident avec blessés graves;Collision frontale;Novembre;Semi-autoroute;0;1;0;1;0;0;0;0;1;1;0
Accident avec blessés graves;Collision frontale;Novembre;Autre;0;1;0;1;0;0;0;0;0;1;1
Accident avec blessés graves;Collision frontale;Décembre;Autoroute;0;0;0;0;0;0;0;0;1;0;0
Accident avec blessés graves;Collision frontale;Décembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Collision frontale;Décembre;Route principale;6;6;8;8;7;3;4;7;5;8;1
Accident avec blessés graves;Collision frontale;Décembre;Route secondaire;4;4;5;2;0;1;3;2;1;1;4
Accident avec blessés graves;Collision frontale;Décembre;Semi-autoroute;0;0;0;0;1;0;0;1;3;2;0
Accident avec blessés graves;Collision frontale;Décembre;Autre;0;0;0;0;0;0;2;1;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Janvier;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Janvier;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Janvier;Route principale;0;0;1;1;0;0;1;0;0;1;1
Accident avec blessés graves;Accident lors du stationnement;Janvier;Route secondaire;2;3;0;0;1;0;1;0;0;1;2
Accident avec blessés graves;Accident lors du stationnement;Janvier;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Janvier;Autre;1;0;1;1;0;0;1;0;1;1;0
Accident avec blessés graves;Accident lors du stationnement;Février;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Février;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Février;Route principale;2;2;4;0;1;0;0;0;1;0;1
Accident avec blessés graves;Accident lors du stationnement;Février;Route secondaire;3;0;1;0;0;2;0;1;1;1;2
Accident avec blessés graves;Accident lors du stationnement;Février;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Février;Autre;0;1;0;0;1;0;0;0;0;0;1
Accident avec blessés graves;Accident lors du stationnement;Mars;Autoroute;1;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Mars;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Mars;Route principale;1;2;1;0;3;1;0;0;1;0;0
Accident avec blessés graves;Accident lors du stationnement;Mars;Route secondaire;4;1;0;2;1;3;2;0;0;1;2
Accident avec blessés graves;Accident lors du stationnement;Mars;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Mars;Autre;0;0;0;0;0;0;0;1;0;1;0
Accident avec blessés graves;Accident lors du stationnement;Avril;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Avril;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Avril;Route principale;0;1;2;0;1;0;0;0;1;0;1
Accident avec blessés graves;Accident lors du stationnement;Avril;Route secondaire;3;0;1;2;1;1;1;1;0;0;4
Accident avec blessés graves;Accident lors du stationnement;Avril;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Avril;Autre;1;0;1;1;0;1;0;2;1;0;1
Accident avec blessés graves;Accident lors du stationnement;Mai;Autoroute;1;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Mai;Installation annexe sur autoroute;0;0;0;0;0;1;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Mai;Route principale;1;1;3;0;1;1;2;2;2;1;2
Accident avec blessés graves;Accident lors du stationnement;Mai;Route secondaire;1;4;2;5;2;0;1;1;3;0;1
Accident avec blessés graves;Accident lors du stationnement;Mai;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Mai;Autre;0;0;2;1;2;0;1;1;0;2;0
Accident avec blessés graves;Accident lors du stationnement;Juin;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Juin;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Juin;Route principale;2;3;0;2;2;1;3;2;0;3;0
Accident avec blessés graves;Accident lors du stationnement;Juin;Route secondaire;3;4;4;4;3;2;4;4;3;2;3
Accident avec blessés graves;Accident lors du stationnement;Juin;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Juin;Autre;0;2;0;3;0;1;1;1;2;1;2
Accident avec blessés graves;Accident lors du stationnement;Juillet;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Juillet;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Juillet;Route principale;0;3;0;1;1;4;2;3;0;1;0
Accident avec blessés graves;Accident lors du stationnement;Juillet;Route secondaire;2;3;3;3;4;3;1;4;3;2;3
Accident avec blessés graves;Accident lors du stationnement;Juillet;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Juillet;Autre;2;1;0;0;2;0;2;0;1;0;0
Accident avec blessés graves;Accident lors du stationnement;Août;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Août;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Août;Route principale;2;1;0;1;0;3;0;1;2;3;0
Accident avec blessés graves;Accident lors du stationnement;Août;Route secondaire;4;2;2;0;0;2;6;0;1;1;2
Accident avec blessés graves;Accident lors du stationnement;Août;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Août;Autre;1;0;0;0;0;1;1;1;0;1;1
Accident avec blessés graves;Accident lors du stationnement;Septembre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Septembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Septembre;Route principale;2;3;2;1;0;2;1;1;3;1;2
Accident avec blessés graves;Accident lors du stationnement;Septembre;Route secondaire;3;0;3;0;3;3;4;2;1;1;4
Accident avec blessés graves;Accident lors du stationnement;Septembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Septembre;Autre;2;0;0;0;2;1;0;1;1;0;0
Accident avec blessés graves;Accident lors du stationnement;Octobre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Octobre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Octobre;Route principale;2;4;1;1;0;0;1;0;0;1;0
Accident avec blessés graves;Accident lors du stationnement;Octobre;Route secondaire;3;2;0;0;1;0;1;2;1;2;2
Accident avec blessés graves;Accident lors du stationnement;Octobre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Octobre;Autre;0;1;0;1;0;1;2;0;0;0;1
Accident avec blessés graves;Accident lors du stationnement;Novembre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Novembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Novembre;Route principale;0;0;0;0;1;0;0;0;1;0;2
Accident avec blessés graves;Accident lors du stationnement;Novembre;Route secondaire;2;2;2;1;3;0;2;2;3;2;0
Accident avec blessés graves;Accident lors du stationnement;Novembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Novembre;Autre;2;0;0;0;0;1;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Décembre;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Décembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Décembre;Route principale;0;0;0;0;1;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Décembre;Route secondaire;0;2;0;3;0;2;1;1;2;1;0
Accident avec blessés graves;Accident lors du stationnement;Décembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident lors du stationnement;Décembre;Autre;1;0;1;3;0;1;0;0;0;0;1
Accident avec blessés graves;Accident concernant des piétons;Janvier;Autoroute;0;0;0;1;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Janvier;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;1
Accident avec blessés graves;Accident concernant des piétons;Janvier;Route principale;28;20;28;22;31;24;32;16;26;25;27
Accident avec blessés graves;Accident concernant des piétons;Janvier;Route secondaire;33;25;29;20;24;20;25;23;17;28;21
Accident avec blessés graves;Accident concernant des piétons;Janvier;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Janvier;Autre;9;6;3;3;2;5;7;0;3;4;3
Accident avec blessés graves;Accident concernant des piétons;Février;Autoroute;0;1;0;0;0;0;1;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Février;Installation annexe sur autoroute;0;1;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Février;Route principale;23;9;28;16;18;21;14;13;15;18;24
Accident avec blessés graves;Accident concernant des piétons;Février;Route secondaire;29;14;28;26;10;19;24;11;14;14;17
Accident avec blessés graves;Accident concernant des piétons;Février;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Février;Autre;3;4;5;2;1;5;5;3;0;2;2
Accident avec blessés graves;Accident concernant des piétons;Mars;Autoroute;1;1;0;2;0;0;0;1;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Mars;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Mars;Route principale;19;15;12;20;17;24;10;22;13;11;14
Accident avec blessés graves;Accident concernant des piétons;Mars;Route secondaire;24;21;21;28;15;18;9;12;17;10;14
Accident avec blessés graves;Accident concernant des piétons;Mars;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Mars;Autre;7;7;6;6;5;2;2;6;1;7;2
Accident avec blessés graves;Accident concernant des piétons;Avril;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Avril;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Avril;Route principale;12;13;18;12;15;13;3;7;15;7;13
Accident avec blessés graves;Accident concernant des piétons;Avril;Route secondaire;21;15;22;25;18;19;6;16;18;10;9
Accident avec blessés graves;Accident concernant des piétons;Avril;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Avril;Autre;13;6;2;3;5;8;2;2;4;4;1
Accident avec blessés graves;Accident concernant des piétons;Mai;Autoroute;0;0;0;1;0;0;0;0;1;0;0
Accident avec blessés graves;Accident concernant des piétons;Mai;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Mai;Route principale;16;14;14;16;14;11;7;6;17;20;14
Accident avec blessés graves;Accident concernant des piétons;Mai;Route secondaire;21;25;20;22;18;24;8;11;14;19;15
Accident avec blessés graves;Accident concernant des piétons;Mai;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Mai;Autre;17;5;5;8;6;7;3;3;2;8;2
Accident avec blessés graves;Accident concernant des piétons;Juin;Autoroute;0;0;1;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Juin;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Juin;Route principale;25;17;14;16;18;24;14;16;21;22;10
Accident avec blessés graves;Accident concernant des piétons;Juin;Route secondaire;23;32;23;22;18;16;19;13;10;16;18
Accident avec blessés graves;Accident concernant des piétons;Juin;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Juin;Autre;3;6;5;5;2;5;5;6;6;3;3
Accident avec blessés graves;Accident concernant des piétons;Juillet;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Juillet;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Juillet;Route principale;10;15;18;10;13;13;17;12;10;16;12
Accident avec blessés graves;Accident concernant des piétons;Juillet;Route secondaire;19;13;17;16;9;16;13;14;12;18;14
Accident avec blessés graves;Accident concernant des piétons;Juillet;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Juillet;Autre;0;2;8;1;5;5;3;6;1;1;3
Accident avec blessés graves;Accident concernant des piétons;Août;Autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Août;Installation annexe sur autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Août;Route principale;13;16;16;11;14;15;19;8;17;11;13
Accident avec blessés graves;Accident concernant des piétons;Août;Route secondaire;20;22;23;11;16;14;16;16;22;18;17
Accident avec blessés graves;Accident concernant des piétons;Août;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Août;Autre;6;6;5;1;2;8;4;1;3;4;7
Accident avec blessés graves;Accident concernant des piétons;Septembre;Autoroute;0;0;0;0;0;1;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Septembre;Installation annexe sur autoroute;0;0;0;0;0;0;0;1;1;0;0
Accident avec blessés graves;Accident concernant des piétons;Septembre;Route principale;17;23;16;14;29;16;16;31;16;11;13
Accident avec blessés graves;Accident concernant des piétons;Septembre;Route secondaire;21;24;25;21;13;22;16;20;15;21;20
Accident avec blessés graves;Accident concernant des piétons;Septembre;Semi-autoroute;0;0;0;0;0;0;0;0;0;0;0
Accident avec blessés graves;Accident concernant des piétons;Septembre;Autre;5;3;4;4;7;4;3;2;4;0;3
Accident avec blessés graves;Accident concernant des piétons;Octobre;Autoroute;0;0;0;1;0;0;0;0;1;0;0
